Rank,Company,round_led_by,founded_year,location,country,stage,primary_sector,top_investors_1,top_investors_2,unicorn_year,employee_count_date,employee_count_number,Total_funding,Annual_Revenue,Valuation_Amount
70,CoinSwitch,a16z,2017,Bengaluru  ,India,Series C,Cryptocurrencies,Sequoia Capital,a16z,2022,2025-01-31,320,302000000,57000000,91000000000
69,Licious,Avendus,2015,Bengaluru  ,India,Series G,Online Grocery,True North,Temasek,2022,2025-02-28,914,490000000,7480000000,121000000000
68,Vedantu,ImpactAssets,2011,Bengaluru  ,India,Series E,K-12 EdTech,Test Preparation Tech,WestBridge Capital,2022,2025-02-28,1088,326000000,1990000000,76500000000
67,Apna,Unknown,2019,Bengaluru  ,India,Series C,HRTech,Maverick Ventures,Insight Partners,2022,2025-02-28,737,390000000,1000000000,194000000
66,MPL,Legatum,2018,Bengaluru  ,India,Series E,Sports Tech,eSports,Mobile Gaming,2022,2024-10-31,397,396000000,8920000000,19000000000
65,Zetwerk,Unknown,2018,Bengaluru  ,India,Series F,B2B E-Commerce,Manufacturing Tech,Baillie Gifford,2022,2024-10-31,1049,768000000,146000000000,254000000000
64,Eruditus,Accel,2010,Singapore  ,Singapore,Series F,Continued Learning,CPP Investments,TPG,2022,2025-02-28,914,961000000,405000000,1000000000
63,CoinDCX,Unknown,2018,Mumbai  ,India,Series D,Cryptocurrencies,Bain Capital Ventures,Jump Capital,2022,2025-01-31,103,247000000,3940000000,15000000000
62,upGrad,Unknown,2015,Mumbai  ,India,Series C,Continued Learning,IFC Asset Management Company,Temasek,2022,2024-12-31,8090,329000000,15500000000,160000000000
61,Mindtickle,SoftBank Vision Fund,2011,Pune  ,India,Series E,Sales Force Automation,New Enterprise Associates,Norwest Venture Partners,2022,2024-10-31,474,281000000,2900000000,2000000000
60,OfBusiness,SoftBank Vision Fund,2015,Ahmedabad  ,India,Series G,B2B E-Commerce,Construction Tech,Materials Tech,2022,2025-02-28,866,390000000,239000000000,776000000
59,BharatPe,Tiger Global Management,2018,Delhi  ,India,Series E,Payments,Dragoneer Investment Group,Insight Partners,2022,2024-10-31,605,604000000,14900000000,201000000000
58,Droom,Unknown,2014,Gurugram  ,India,Series G,Auto E-Commerce & Content,Auto Retail & Aftersales,Digital Garage,2022,2025-02-28,139,344000000,900000000,31000000000
57,BlackBuck,Unknown,2015,Bengaluru  ,India,Public,Logistics Tech,Wellington,Goldman Sachs,2022,2025-02-28,1608,390000000,3170000000,359000000
56,Blinkit,Unknown,2013,Gurugram  ,India,Acquired,Online Grocery,KTB Ventures,SoftBank Group,2021,2024-12-31,5054,757000000,19300000000,13000000000
55,BrowserStack,Bond Capital,2011,Mumbai  ,India,Series B,Software Testing Tools,345 Partners,Accel,2021,2024-12-31,1153,253000000,6820000000,4000000000
54,Zeta,SoftBank Vision Fund,2015,Bengaluru  ,India,Series D,Banking Tech,Savano Capital Partners,Avendus,2021,2024-10-31,1278,390000000,8000000,2000000000
53,Moglix,Harvard Management Company,2015,Singapore  ,Singapore,Series F,B2B E-Commerce,Construction Tech,IFC,2021,2024-10-31,4166,471000000,41400000000,51000000000
52,Urban Company,Wellington,2014,Gurugram  ,India,Series F,Local Services,Wellington,Bessemer Venture Partners,2021,2025-01-31,1079,376000000,9280000000,200000000000
51,Chargebee,Insight Partners,2011,Bethesda  ,United States,Series H,Finance & Accounting Tech,Sapphire Ventures,G Squared,2021,2024-12-31,751,475000000,3730000000,5000000000
50,ShareChat,Unknown,2015,Bengaluru  ,India,Series H,Vernacular Platforms,Social Platforms,HarbourVest Partners,2021,2024-11-30,589,390000000,5000000000,23000000000
49,Gupshup,Tiger Global Management,2004,San Francisco  ,United States,Series F,Chatbots,Customer Success Management,MarketingTech,2021,2025-02-28,1135,484000000,16200000000,500000000
48,Groww,Tiger Global Management,2016,Bengaluru  ,India,Series E,Investment Tech,Iconiq Capital,Tiger Global Management,2021,2025-02-28,945,393000000,100000,8000000000
47,CRED,Coatue,2018,Bengaluru  ,India,Series F,Payments,GIC,Sofina,2021,2025-01-31,912,867000000,14800000000,4000000000
46,Meesho,Unknown,2015,Bengaluru  ,India,Series F,Horizontal E-Commerce,WestBridge Capital,Fidelity Investments,2021,2024-09-30,1588,1360000000,390000000,9000000000
45,Five Star Business Finance,KKR,1984,Chennai  ,India,Public,Consumer and SME Loans,TPG,KKR,2021,2024-09-30,10774,390000000,22000000000,522000000
44,Infra.Market,Tiger Global Management,2016,Thane  ,India,Series F,Construction Tech,B2B E-Commerce,Accel,2021,2025-02-28,813,592000000,147000000000,238000000000
43,Innovaccer,Unknown,2014,San Francisco  ,United States,Series F,Healthcare Payer Tech,Healthcare IT,WestBridge Capital,2021,2024-09-30,1003,675000000,3540000000,13000000000
42,Digit Insurance,TVS Capital Funds,2016,Bengaluru  ,India,Public,Internet First Insurance Platforms,Fairfax Financial Holdings,TVS Capital Funds,2021,2025-01-31,9171,390000000,84400000000,467000000
41,VerSe,Unknown,2007,Bengaluru  ,India,Series J,Vernacular Platforms,Social Platforms,Internet First Media,2021,2025-02-28,696,2009999999,12600000000,9000000000
40,Glance,Google,2019,Bengaluru  ,India,Series D,Mobile Utility Tools,Vernacular Platforms,Mobile Advertising,2021,2023-10-31,738,390000000,1000000,7000000000
39,Zenoti,Unknown,2010,Bellevue  ,United States,Series D,SME Business Management Software,Beauty Tech,Enterprise Resource Planning,2021,2024-10-31,787,390000000,5000000000,331000000
38,PhonePe,Unknown,2012,Bengaluru  ,India,Acquired,Payments,General Atlantic,TVS Capital Funds,2021,2025-01-31,910,1010000000,57200000000,1040000000000
37,Cars24,DST Global,2015,Gurugram  ,India,Series G,Auto E-Commerce & Content,Auto Retail & Aftersales,SoftBank Group,2021,2023-06-30,2473,1080000000,69800000000,23000000000
36,Eightfold,General Catalyst,2016,Santa Clara  ,United States,Series E,HRTech,IVP,TriplePoint Capital,2021,2023-12-31,283,410000000,1420000000,1000000000
35,Razorpay,GIC,2014,Bengaluru  ,India,Series F,Payments,TCV,GIC,2021,2025-02-28,2368,742000000,25000000000,76000000000
34,Unacademy,SoftBank Vision Fund,2015,Bengaluru  ,India,Series H,Test Preparation Tech,General Atlantic,Temasek,2021,2025-01-31,1754,880000000,9880000000,44000000000
33,Zerodha,Unknown,2010,Bengaluru  ,India,Unfunded,Investment Tech,Unknown,Unknown,2020,2025-02-28,914,390000000,6000000000,7500000000
32,Postman,Insight Partners,2014,San Francisco  ,United States,Series D,API Management,Battery Ventures,CRV,2020,2024-10-31,286,390000000,6000000000,434000000
31,OYO,Unknown,2012,Gurugram  ,India,Series G,Online Travel,Fidelity Investments,Khazanah Nasional Berhad,2020,2025-02-28,1191,3470000000,55400000000,360000000000
30,Nykaa,Steadview,2012,Mumbai  ,India,Public,Beauty Tech,Horizontal E-Commerce,TPG,2020,2025-01-31,4201,390000000,64200000000,103000000
29,FirstCry,Unknown,2010,Pune  ,India,Public,Mom & Baby Care,ChrysCapital,New Enterprise Associates,2020,2025-02-28,914,390000000,513000000,7500000000
28,Pine Labs,Mastercard,1998,Noida  ,India,Late Stage,Payments,Invesco Mutual Fund,Fidelity Investments,2020,2024-11-30,534,1320000000,15900000000,28000000000
27,Lenskart,Unknown,2010,Gurugram  ,India,Series I,Fashion Tech,ChrysCapital,TPG,2020,2025-02-28,41,1080000000,56100000000,6000000000
26,Rivigo,KB Financial Group,2014,Gurugram  ,India,Series H,Logistics Tech,Warburg Pincus,Bessemer Venture Partners,2020,2024-11-30,31,314000000,810000000,2000000
25,Icertis,Greycroft,2009,Bellevue  ,United States,Series F,Legal Tech,Cross Creek,Meritech,2020,2024-10-31,1745,390000000,5000000000,497000000
24,CitiusTech,Unknown,2005,Mumbai  ,India,Acquired,Healthcare IT,Bain Capital Private Equity,General Atlantic,2020,2024-11-30,5369,1070000000,35500000000,2000000000
23,Ola Electric,SoftBank,2017,Bengaluru  ,India,Public,Electric Vehicles,Temasek,SBI,2020,2025-02-28,10,390000000,52400000000,1000000000
22,Druva,Unknown,2008,Santa Clara  ,United States,Series H,Cybersecurity,IT Operations,Enterprise Storage,2019,2023-12-31,314,475000000,9000000,2000000000
21,Zoho,Unknown,1996,Chennai  ,India,Unfunded,Sales Force Automation,Enterprise Collaboration,Customer Service Software,2019,2025-02-28,914,390000000,489000000000,7500000000
20,Dream11,Unknown,2008,Mumbai  ,India,Series D,Sports Tech,Tencent,Multiples Alternate Asset Management,2019,2025-02-28,1231,100000000,65800000000,8000000000
19,Bigbasket,Mirae Asset Venture Investments,2011,Bengaluru  ,India,Acquired,Online Grocery,Sands Capital Ventures,Bessemer Venture Partners,2019,2025-02-28,19111,943000000,101000000000,224000000000
18,Delhivery,Unknown,2011,Gurugram  ,India,Public,Logistics Tech,E-Commerce Enablers,CPP Investments,2019,2025-02-28,24590,390000000,85900000000,25000000000
17,BillDesk,Unknown,2000,Mumbai  ,India,Series D,Payments,General Atlantic,Temasek,2019,2025-02-28,749,186000000,27700000000,114000000000
16,Udaan,DST Global Solutions,2016,Bengaluru  ,India,Series G,B2B E-Commerce,Nomura,Catamaran,2019,2025-02-28,1928,1950000000,3460000000,8000000000
15,Freshworks,Unknown,2010,San Mateo  ,United States,Public,Customer Service Software,Sales Force Automation,MarketingTech,2019,2024-12-31,4400,390000000,720000000,499000000
14,Policybazaar,Unknown,2008,Gurugram  ,India,Late Stage,Internet First Insurance Platforms,Premji Invest,Burman Family Holdings,2018,2025-02-28,914,390000000,38200000000,7500000000
13,Swiggy,DST Global,2014,Bengaluru  ,India,Public,Logistics Tech,Food Tech,Online Grocery,2018,2025-03-31,4658,390000000,116000000000,62000000000
12,BYJU'S,Unknown,2011,Bengaluru  ,India,Series F,K-12 EdTech,Test Preparation Tech,CPP Investments,2018,2024-08-31,4,390000000,120000000,45000000000
11,Paytm Mall,SoftBank Group,2017,Bengaluru  ,India,Series E,Horizontal E-Commerce,Sapphire Ventures,SVB,2018,2025-01-31,541,817000000,1540000000,13000000
10,Zomato,Ant Group,2008,Gurugram  ,India,Public,Food Tech,Fidelity Investments,Temasek,2018,2025-01-31,7536,390000000,130000000000,69000000000
9,Hike,Tencent,2012,Delhi  ,India,Series D,Mobile Gaming,Non Fungible Tokens,Foxconn Electronics,2017,2025-02-28,914,261000000,8000000,4000000000
8,ShopClues,GIC,2011,Gurugram  ,India,Acquired,Horizontal E-Commerce,GIC,Helion Venture Partners,2016,2024-06-30,193,249000000,370000000,1000000000
7,Ola,Unknown,2010,Bengaluru  ,India,Series J,Road Transport Tech,HBM Partners,Odenn Ventures,2016,2025-01-31,538,3840000000,22000000000,2000000000
6,Paytm,Alibaba Group,2000,Noida  ,India,Public,Payments,Berkshire Hathaway,T. Rowe Price,2016,2025-02-28,5,390000000,105000000000,48000000000
5,Quikr,Steadview,2008,Bengaluru  ,India,Series H,Horizontal E-Commerce,Warburg Pincus,NGP Capital,2015,2025-02-28,74,370000000,40000000,566000000
4,Snapdeal,Unknown,2010,Delhi  ,India,Series H,Horizontal E-Commerce,New Enterprise Associates,BlackRock,2014,2025-03-31,277,1770000000,3850000000,8000000000
3,Mu Sigma,Mastercard,2004,Northbrook  ,United States,Series C,Business Intelligence,Big Data Analytics,General Atlantic,2013,2024-09-30,2312,215000000,8990000000,1000000000
2,Flipkart,Unknown,2007,Bengaluru  ,India,Acquired,Horizontal E-Commerce,CPP Investments,Vulcan Capital,2013,2025-02-28,7129,12100000000,708000000000,36000000000
1,InMobi,SoftBank Vision Fund,2007,Bengaluru  ,India,Series D,AdTech and Marketing,Hercules Capital,Klenier Perkins,2012,2025-02-28,914,266000000,268000000,5000000000
